aid,label,uid,age,gender,marriageStatus,education,consumptionAbility,LBS,interest1,interest2,interest3,interest4,interest5,kw1,kw2,kw3,topic1,topic2,topic3,appIdInstall,appIdAction,ct,os,carrier,house,advertiserId,campaignId,creativeId,creativeSize,adCategoryId,productId,productType
1918,0.0,54663149,5,1,11,6,1,210.0,70 76 36 11,24 30,,,127 52 100 131 116 13 8 50 6 76 46 126 121 59 24 129 130 93,365427,11395 79112 95597 105115 34525,,1106 9546 5631 1398 2562,9751 1635 1267 9687 9769,,,,3,1,1,1.0,158679,643438,1690612,60,4,0,4
846,0.0,52592275,5,1,11,6,1,687.0,70 86 12 47 75 69 29 49 2 42 43 72 115 88 56 112 36 34 11 54 96 48 28 59 15 18 23 9 17 65,70 4 48 10,,,131 37 116 71 8 6 132 42 46 62 103 114 21,268355 468512 100680 96100 764860,31076 85264 11395 79112 82720,,9826 1682 4760 644 7566,7938 523 1180 6543 9283,,,,1 3,1,1,1.0,8864,310473,1073411,22,43,25730,9
420,1.0,21547984,4,2,0,7,1,131.0,70 86 76 75 4 28 106 29 59 49 41 27 64 6 2 92 46 17 56 116 36 11,47 24 46 32 30 37 29,,,52 72 131 11 4 48 8 113 28 66 6 42 76 20 46 59 103 93,330721 627369 259755 314149 529100,28206 102474 88214 78971 36903,,4812 4801 2583 7375 9249,2970 509 7509 5389 3706,,,,1 3 4,1,1,,2676,692763,1451219,77,8,0,4
302,0.0,66762714,2,2,10,1,1,951.0,70 76 28 59 49 36 11,47 73 24 9 70 20 6 4 30 10,,,52 72 131 37 101 78 79 109 8 30 42 46 64 120,627369 43329 561319 709037 78993,87384 81211 117062 93674 66536,,164 2519 1834 2830 2397,9708 2531 139 6442 7658,,,,3 4,1,1,,18621,745599,1628574,91,21,0,4
1566,0.0,49247015,1,1,10,2,0,280.0,98 47 75 69 29 49 6 95 71 23 9 36 11 44,,,,131 116 101 109 8 6 121 129,118076 94912 442133 547154 272709,32981 95979 45119 108417 48892,,8598 310 5007 3356 644,7573 8116 5555 3082 9705,,,,3,1,3,,6946,296367,520004,59,24,3794,11
369,0.0,75796170,2,1,10,2,2,705.0,93 77 86 109 47 75 29 83 6 119 39 46 57 17 9 56 36 11,,,,,338851 253554 453551 139628 493181,40821 18185 61936 74083 87078,,3052 6939 644 1598 6762,4075 5675 7816 6477 3865,,,,0,0,0,,66025,170445,1229175,109,94,0,4
1468,0.0,14354520,2,1,10,1,1,13.0,70 86 109 47 76 75 28 29 59 49 27 6 2 119 42 92 91 111 22 9 62 36 11,70,,,127 72 37 116 8 6 42 76 46 58 103 52 131 107 79 69 132 39 121 23 59 118 129 93,524579 446227 367931 211443 112618,107504 100124 44265 105942 110109,,3803 9205 3207 9232 7684,1765 7856 4358 9251 5431,,,,3 1 4,1,1,,915,994,1610899,60,51,0,4
916,0.0,4976076,2,2,12 13,6,1,100.0,86 83 42 17 56 62 36 11,58 31 70 49 44 54,,,119 31 63 47 78 109 8 30 6 42 76 59 64 129 81 130 120 93,365075 319706 725039 755294 183412,105115 111921 100786 71378 41409,,7684 7827 1982 7512 1135,7052 2872 8058 2422 6447,,,,3 1,1,1,,17597,51385,838056,35,25,0,6
1468,0.0,35084182,5,1,11,7,2,950.0,93 70 77 86 37 109 75 69 29 49 83 6 72 46 56 36 11 44 100 59 119 18 57 17 116,46 37,,,100 80 92 37 116 13 71 8 28 6 2 42 20 46 94 122 133 56 114 21 131 132 121 59,338851 612024 572479 701150 210767,96549 32356 114283 53851 54980,,5297 5822 7608 9546 7457,644 5482 2391 6520 8823,,,,1 3,1,3,,915,994,1610899,60,51,0,4
939,0.0,75365386,1,1,10,1,1,85.0,93 70 77 118 47 76 8 46 9 36 11,22 73 9 70 33 4 74 41 45,,,100 80 131 37 4 8 6 76 46 59 129 93,497092 633122 437174 610640 628198,11395 34802 82852 90747 19826,50583 38454 36342 23076 14161,7165 6695 8575 2557 6095,2913 1094 2902 5188 218,9274 360 3729 2031 7388,24692,,3,1,1,,3993,84178,104188,59,100,24947,11
136,0.0,9476214,1,1,10,2,1,441.0,26 25,22 42 9 70,,,72 92 116 13 1 71 109 34 8 30 50 28 6 76 111 20 58 35 21 52 131 113 121 59 60 18 129 130,373554,11395 79112 23929 37979 30286,,4239 7433 9077 7053 1929,783 8658 9131 2154 7433,,,,1 3,1,1,,452,50305,1187573,35,10,7992,11
1338,0.0,19193584,5,1,10,2,0,585.0,,,,,,,,,,,,,,0,0,0,,702,12724,1147463,105,10,4669,11
302,0.0,38465760,2,2,10,1,1,415.0,70 28 59 49 6 57 17 56 116 36 11,47 73 32 21,,,,709037 244352 687054 113431 790907,105115 8546 82643 55545 78366,,9046 9396 9819 3830 9437,4909 3301 9154 5005 8955,,,,0,0,0,,18621,745599,1628574,91,21,0,4
2047,0.0,32701898,2,1,13 10,7,1,431.0,17 56 36 11,46 29,,,52 78 71 8 30 6 42 76 59 118 18 58 64 129 21 93,636011 162804 251612 780946,66915 55514 22154 66338 94229,,631 9235 8048 9700 6370,9708 5204 9968 4776 8357,,,,1 3,2,3,,11459,18296,20199,91,94,0,4
1746,0.0,44752953,4,2,13,7,2,809.0,93 70 77 75 69 29 49 6 42 46 56 36 82 11 44 100 76 48 67 59 15 41 18 114 68 113 71 17 116,4 48,,,100 72 80 63 37 116 71 109 8 50 28 6 42 20 46 103 21 52 131 79 17 121 59 129,338851 368262 213191 172567 562294,30101 73505 72453 28206 11395,,6939 8427 4392 2302 9786,2880 5441 8544 667 41,,,,3 1 4,1,2,,75748,204378,287080,22,121,0,4
411,0.0,42078922,4,2,11,6,1,705.0,70 118 76 48 28 8 59 67 49 6 18 23 116 36 11,73 19 13,,,72 92 63 116 53 13 78 71 109 8 32 30 50 28 115 6 42 76 55 27 9 20 64 56 40 26 52 31 131 87 89 121 59 60 129 130 93,529100 64588 446617 521474 298533,46205 30551 86586 120741 8546,,9826 283 6118 3450 4080,5641 6311 4260 672 7895,,,,3 1,2,1,,9106,163120,220179,79,21,0,4
311,0.0,1620969,3,2,11,2,1,892.0,70 37 76 75 106 29 46 36 11,,,,,627369 8561 542834 105884 31080,84348 98976 34004 118151 1088,,7684 6762 408 3445 3058,7444 1647 644 4753 4039,,,,3,1,0,,915,994,27461,60,51,0,4
1291,0.0,52411168,5,1,11,6,1,275.0,118 47 75 8 29 49 27 42 92 73 113 9 35 36 11 117,79 9 46 6 21 33 4 28 76 41 48 39 43 37 14 29,,,52 33 131 116 13 71 109 8 61 50 6 5 121 59 129 35 56 21,393837 411962 59569 598449 2268,1225 117548 14906 25687 120705,,644 8822 1370 1091 8329,412 9110 5655 9541 2039,,,,3 1 4,1,3,1.0,1082,40405,1434096,53,13,0,6
914,0.0,16053777,1,1,13 10,6,2,115.0,93 70 32 77 37 109 102 28 49 41 27 6 119 7 95 46 57 23 116 36 11,,,,100 80 131 63 37 109 8 6 46 129,197267 745923 154475 74772 491118,18780 974 18185 76657 66915,8820 36983 27421 56849 43748,7603 523 6939 1314 506,2101 1988 2097 4793 8867,5432 6492 4921 840 5949,,,3,1,0,,47823,111645,141973,100,21,0,4
1468,0.0,6938995,1,1,10,7,1,72.0,70 77 86 98 47 76 69 28 29 59 49 83 27 6 42 19 46 9 35 116 36 11 20,,,,52 72 80 131 116 13 47 8 113 61 50 73 6 132 9 46 121 18 58 129 22,790848 437005 498020 297041 162804,16683 59581 1118 104517,,1751 7684 4410 8503 9253,330 3992 8234 300 2234,,,,3 1,1,1,1.0,915,994,1610899,60,51,0,4
70,0.0,38063767,2,2,13 10,2,2,85.0,70 118 109 48 28 8 106 67 59 49 6 119 73 91 17 56 116 36 11 117,73 70 28 74 65 54,,,72 92 116 78 71 109 128 8 30 50 6 2 42 58 133 21 52 131 79 69 73 132 89 70 59 118 60 129 120,435043 64588 679913 118709 209756,79676 73349 78366 80747 85177,,3168 2132 63 3965 6525,8556 9298 4985 1594 10,,,,3 1,1,2,1.0,327,5616,5977,22,27,113,9
692,0.0,75503662,5,1,10,1,0,45.0,17 56 36 11,,,,,691885 271833 696607 495006,80263 19826 116112,,5099 8889 230 2002 8062,2990 1060 7373 3551 3771,,,,3,1,0,,6946,296367,455396,59,24,3794,11
1781,0.0,24488149,1,2,10,7,1,958.0,93 70 77 86 100 76 28 83 27 6 7 2 42 46 60 22 71 116 36 11 96,63 18 30 68,,,100 72 80 92 116 4 71 109 128 8 112 30 50 86 28 6 42 27 75 20 46 64 103 114 40 26 52 31 131 11 79 17 19 62 121 59 129 83,573044 684639 555710 526578 341120,101564 4837 38532 34154 100125,,8525 2519 3764 9826 7143,4779 5927 6923 9224 9195,,,,3 1,2,1,1.0,25420,135565,1606251,53,4,0,4
916,0.0,67312009,2,2,10,6,2,72.0,93 70 109 76 28 59 49 122 6 119 5 46 60 116 36 11,66 22 79 1 70 6 54,,,,107700 64588 366962 68091 119206,80263 11547 5685 85177 52864,,6278 8462 4437 6787 9826,8161 4346 3360 5658 263,,,,3,2,0,,17597,51385,838056,35,25,0,6
1716,0.0,16054191,1,2,11,7,1,783.0,70 86 109 76 48 28 106 67 119 2 42 5 111 62 36 11,47 42 73 31 1 70 20 44 54,,,131 63 116 101 1 71 109 8 50 6 132 42 76 59 60 64 129 21 93 83,583314 601348 568750 289975 183412,16373 90580 100648 42542 41340,,3843 9221 8823 1502 6666,7580 8016 358 3701 1553,,,,1 3,1 2,1,,5552,158101,1080850,35,27,113,9
692,0.0,27042690,2,1,10,3,1,458.0,70 109 76 119 36 11,,,,92 116 47 128 8 50 28 115 6 42 76 55 36 64 103 31 73 132 89 121 59 10 60 129 93,508680 754683 555051 268945 454738,91187 117462 55952 57013 44630,,8815 6989 9580 3513 3401,5169 4745 7788 598 9817,,,,1 3,1,3,,6946,296367,455396,59,24,3794,11
1379,1.0,27974696,1,1,13 10,6,2,13.0,70 109 75 76 28 29 59 49 41 64 6 119 114 17 56 116 36 11,22 9 70,,,72 13 79 6 42 27 9 89 74 59 84 64 129 35 40,666079 394919 182185 89154 272264,79250 77181 117548 18185 27802,,5915 3207 607 7800 6096,585 1732 7612 1014 9968,,,,1 4 3,1,1,,8864,90700,469197,22,27,113,9
411,0.0,17828902,4,1,10,6,1,1.0,70 76,,,,92 116 132 42 75 64,37509 36095 8561 605930,48826 85177 97626 52864 106259,,9264 9992 2380 6816 5531,4818 4393 895 2376 2324,,,,3 1 4,1,3,,9106,163120,220179,79,21,0,4
1622,0.0,20967479,4,2,12 13,7,1,170.0,93 70 118 76 28 33 8 29 6 46 60 17 56 36 11,47 58 73 24 32 19 4 13 49 30 41 48,,,52 100 72 131 63 37 53 78 71 109 8 30 61 50 41 66 6 46 59 56 114 120,417848 665425 35889 41290 543455,11395 79112 305 52173 4783,,8648 6816 9534 571 4071,7457 588 6732 336 6586,,,,3 1,1,1,,17597,51385,838455,35,27,0,6
692,0.0,4357412,1,1,10,2,1,502.0,49 122 17 56 36 11,31 44,,,,57006 111225 127865 134533 10518,10130 105942 81716 56438 37224,,1749 5709 4751 7180 7813,2485 1699 9603 6945 9571,,,,1,2,0,,6946,296367,455396,59,24,3794,11
1254,0.0,20623764,1,2,13 10,7,2,943.0,93 70 109 76 28 16 59 49 119 46 36 11,73 24 9 1 70 30 74,,,100 72 131 37 78 79 71 8 30 69 6 42 76 46 59 18 58 64 129 21 93,238510 485930 214599 247634 64588,846 49681 38842 73295 42808,,8569 9978 353 182 8919,9047 4325 4739 5791 6457,,,,3 1,1,1,,8350,244601,1383456,35,59,0,4
1284,0.0,78202974,4,1,11,6,1,458.0,93 77 86 37 109 12 98 75 29 49 83 108 6 73 46 88 112 36 34 11 59 39 71 23 116 3,24 73 52 21 19 13 30 74,,,100 72 80 92 37 116 47 1 78 71 109 8 30 50 6 42 76 111 46 64 103 21 52 131 79 61 66 89 121 123 59 129 81 96 93,338851 542834 538596 53354 468512,40141 12426 85368 94382 104708,,6563 3414 8778 6939 7684,4739 5791 6457 9917 4338,,,,3 1 2,1,1,,6841,159118,1758880,42,10,3733,11
960,0.0,42208088,2,2,13 10,6,1,395.0,70 47 76 67 41 9 36 11,58 21 71,,,52 72 131 116 107 78 71 109 8 17 30 69 50 6 42 121 59 64 129 120 21,298533 435667 409591 53498 245830,69298 74030 95597 82643 105115,,644 350 4071 5645 607,5792 3368 75 2372 6256,,,,3 1,1 2,1,,702,52258,1655556,59,10,4669,11
1350,0.0,71886464,5,1,10,1,0,18.0,73 90,63 30,,,,275623 726802 117916 261912 562294,107661 18185 89620 8125 10695,,1978 1837 6586 9826 1213,3816 9860 566 7866 4324,,,,0,0,0,,7565,353610,1554384,109,94,0,4
1044,0.0,47074301,2,2,10,2,2,849.0,,79 6,,,,,103447 117462 35010 55952 58787,,,8525 2097 7457 1078 5316,,,,0,0,0,,18630,33813,38299,35,4,0,4
432,0.0,24477523,5,1,10,2,0,567.0,93 77 109 69 59 49 6 119 46 71 57 24 116 36 11 38,,,,127 100 80 116 71 8 50 28 98 6 42 46 64 56 103 21 52 131 121 23 74 59 60 129,104068 527814 279670 10251 460690,103645 6690 974 7014 52156,,8048 1172 5935 9826 8402,5169 6978 2990 2748 6287,,,,3 1,2,3,,11437,18237,1081485,100,21,0,4
1407,0.0,8852328,5,1,0,6,0,270.0,93 46,24 9 21 30 55,,,100 6 89 46 129,,10662 61840 313 52864 461,36983 8820 42579 15493 7540,6939 8088 3162 8048 7892,,43 5918 7114 3470 2313,,,3 1,1 2,2,,702,12724,962151,105,10,4669,11
1503,0.0,77951745,1,1,13 10,7,0,737.0,,24 30,,,,,305 52173 34154 116611 87384,,,5692 2474 1776 7958 1627,,,,3 1 2,1,0,,79,2295,1230210,59,10,38,11
1379,0.0,15095533,2,1,6 13,7,1,809.0,93 70 12 76 28 59 67 49 15 41 6 46 22 17 56 36 34 11,22 79 9 46 70 6 33 55 23 29,,,100 72 37 116 11 13 47 79 69 41 6 9 46 121 59 81,89154 490686 761493 577673 562294,44452 56906 98971 11395 79112,,9984 9020 5915 3656 6895,7062 5732 9435 9125 9310,,,,3 1,1,3,,8864,90700,469197,22,27,113,9
1904,0.0,30866123,5,2,10,7,1,809.0,70 109 47 75 76 28 29 6 119 42 9 116 36 11 96,58 73 1 70 21 19 4 71 13 74 48,,,104 72 92 116 13 47 1 109 8 50 6 42 76 27 9 75 64 40 52 131 41 121 59 60 129 81 22 120 93 83,666240 794030 576727 649587 47507,105115 11395 79112 93916 8546,,384 9906 5096 8442 3188,5641 3074 1101 1487 981,,,,3 1,1,1,1.0,8203,37818,414738,109,142,0,6
302,0.0,20336345,2,2,10,6,0,774.0,70 76 67,73 1 46 70 21 74 37,6 8 10 4 9 1 7 3 5 2,,37 6 46 129,279516 723709 446340 497578 605930,11395 79112 52864 461 12933,30214 14542 36983 8820 14981,4818 2267 3479 139 7430,1921 5060 6269 8914 1547,5015 3651 1038 7202 7467,,,3,1,1,,18621,745599,1628574,91,21,0,4
846,0.0,35156445,2,1,10,1,1,662.0,36 11,22 24 46 70 30 14,,,78 30 76 93,522888 8561 562294,9202 100593 81476 63970 15760,,286 1481 46 2036 7753,783 8658 9171 9131 2154,,,,0,0,1,,8864,310473,1073411,22,43,25730,9
1017,0.0,58534311,4,1,11,7,2,270.0,93 70 98 69 29 49 6 42 73 46 56 36 11 96 107 76 48 28 106 67 59 41 114 71 57 23 17 58 116 50,52 21,,,,315951 204795 89154 666066 487978,72686 73250 87384 11538 77778,,360 9826 7281 5382 1931,5322 8317 7433 4441 5189,,,,3 1 2,1,0,,11487,741453,1614385,22,21,0,4
1566,0.0,19634292,4,1,11,2,1,312.0,75 29 17 56 36 11,,,,,262127 773220 223415 411962 318081,14090,,644 3162 7684 6939 358,5764 5389 4571 1950 7185,,,,3,1,0,,6946,296367,520004,59,24,3794,11
1605,0.0,35534038,1,2,10,6,2,174.0,70 76 69 67 36 11 20,22 31 52 1 70 21 44,,,72 131 107 8 69 28 6 76 27 20 59 130 40,486707 418990 582977 279516 298533,103645 6690 105115 70625 37077,,3468 3040 3401 6011 4330,7922 364 1807 4098 3606,,,,3 1,1,3,,11195,19215,1755470,53,140,0,4
692,0.0,74616878,5,1,11,7,1,687.0,70 76 28 106 59 49 41 6 17 56 116 36 11,,,,52 92 131 116 8 50 5 75 60,87038 453249 260366 435043 85893,82910 22381 66797 83926 84717,,1584 7264 9826 8559 9427,163 1802 295 7952 6144,,,,1 3,1,1,,6946,296367,455396,59,24,3794,11
70,0.0,24696694,2,2,10,2,1,275.0,36 11,73 70 54,,,,8561 403083 780946 758223,35944 85195 15868 8207 11702,,2030 8497 1482 9428 388,9862 5307 9570 9132 5239,,,,3 1,2,0,,327,5616,5977,22,27,113,9
1918,0.0,14193492,5,1,11,7,1,87.0,93 70 77 86 109 98 75 76 29 59 49 15 6 119 73 72 46 60 57 116 36 11 3,73,,,52 100 80 131 47 8 6 42 76 46 62 59 64 129 81 93,707913 761845 188229 65240 745621,117548 70935 76242 62591 119740,,3756 6866 6939 3162 644,2561 2746 2084 2066 8952,,,,1 3,2,1,,158679,643438,1690612,60,4,0,4
1044,0.0,72779900,1,2,10,2,1,821.0,70 76 28 73 36 11 3,31 44,,,52 72 33 131 107 79 109 8 28 6 76 27 20 59 40 93,571228 64588 26682 506575 116972,53464 99799 63117 87795 93971,,2519 3775 9264 3202 4796,5566 9272 469 8883 847,,,,3 1,2,1,,18630,33813,38299,35,4,0,4
1291,0.0,64953808,5,1,11,7,1,348.0,86 37 118 12 98 75 69 8 29 59 49 83 6 2 46 60 115 71 36 34 11 20,,,,72 92 37 116 13 47 71 128 8 50 86 28 6 42 9 75 20 46 94 56 103 52 131 41 132 121 74 59 60 10 129,92320 231370 118076 721375 53354,6855 87084 33270 114456 2095,,8858 8510 9826 5828 2545,4357 2596 8673 9049 1057,,,,1 3,2,1,1.0,1082,40405,1434096,53,13,0,6
2066,0.0,20008733,4,2,13 10,2,1,353.0,109 59 49 6 119 111 116 36 11,,,,,384132 195616 94895 665289 502695,94093 81476 36301 27783 19826,,7684 8901 9865 6666 1778,3014 1895 1932 9488 751,,,,0,0,0,,14818,286065,1075635,109,27,113,9
692,0.0,8051803,3,1,13,7,2,99.0,93 70 77 37 98 101 47 75 4 8 29 49 27 6 42 73 53 26 46 56 36 82 11 25 118 100 76 113 71 9 17 116 87,24 1 70 19 13 30,,,52 100 80 37 108 78 4 8 30 6 42 46 18 58 129 103,610185 538596 310728 761845 469171,75000 17581 58902 56688 41409,,3936 523 8778 6939 7964,4724 212 9160 4431 258,,,,1 3,1,1,,6946,296367,455396,59,24,3794,11
1027,0.0,66620114,3,1,11,6,1,428.0,93 70 77 109 98 47 75 69 29 49 27 6 92 73 46 56 36 11 44 76 106 18 114 39 60 22 23 57 9 17 3 87,63 24 30,,,100 80 131 37 116 8 6 46 121 59 129,396602 493555 145050 79725 773027,63970 86469 109613 53818 29089,,9826 417 6661 506 9235,8193 3678 7998 7291 1802,,,,3 1,1,1,,915,31020,1266652,22,51,0,4
692,0.0,36157305,2,1,10,3,0,115.0,59 49 95 36 11,,,,72 131 116 11 8 6 42 27 89 121 64 40,784463 46751 442581 81119 162804,11395 79112 119291 51859 16567,,8013 9484 3781 8918 8597,6978 1195 1227 9721 8833,,,,3 1,1,2,,6946,296367,455396,59,24,3794,11
725,0.0,43228422,2,2,10,6,2,554.0,93 70 28 46 36 11,,,,,191560 516518 365427 415855 627369,12198 89860 1673 29950 9634,,5488 6975 5415 8839 46,1170 7444 8402 3104 152,,,,0,2,0,,370,170485,1485462,22,67,113,9
302,0.0,19856371,3,2,11,2,2,341.0,93 70 77 30 86 37 76 75 4 69 33 8 29 83 27 92 73 46 36 11 50 20 87,24 70 4 28 30 48 54,,,52 100 72 80 131 37 11 4 79 71 8 28 6 7 46 59 21,235296 616985 497092 457717 408698,90656 30101 17355 85039 63343,41633 13035 8820 36983 51621,506 8778 4442 7330 2328,4846 7922 1471 9643 7580,4417 4231 7478 2951 8643,,,1 3,1,3,,18621,745599,1628574,91,21,0,4
191,0.0,67249695,4,1,11,1,0,47.0,75 4 29 46 36 11,52 21,,,,53354 711955 158229 338851 568814,80452 55867 50570 53851 51938,,4789 7816 7684 3162 8957,445 6337 6218 5105 7519,,,,0,0,0,,25485,50138,58465,35,51,15454,11
1468,1.0,3202763,2,1,11,2,1,112.0,93 70 86 109 76 28 106 59 49 83 119 46 111 17 56,9 52 46 21 72,,,100 72 92 116 13 47 1 109 8 6 42 76 111 75 9 46 64 35 52 131 79 69 132 89 121 59 10 129 110 96 54,111690 750790 170026 460828 505995,55125 42150 120784 110188 4837,,6666 2342 2940 5233 6651,2480 2889 3269 8725 7688,,,,3 1,2,2,1.0,915,994,1610899,60,51,0,4
12,0.0,31703979,1,2,13 10,7,2,232.0,70 86 109 12 33 8 29 49 27 6 2 92 73 26 19 112 36 11 25 118 100 48 28 59 18 39 114 111 113 116 3 117,73 46 74 14,,,52 104 100 33 116 78 1 71 109 8 17 30 50 28 132 20 46 21,668572 338851 383144 172567 207553,846 114283 34525 120667 8546,,6955 9826 3682 9499 6666,3573 5445 556 2817 9953,,,,3 1,1,3,,388,420987,1612095,35,67,113,9
1605,0.0,7502512,4,1,11,6,1,246.0,93 86 37 109 47 4 75 8 29 49 83 6 46 36 11 51 30 118 16 59 15 122 91 111 71 113 57 9 116,79 73 46 70 6 19 4 36 18 13 41 29,,,100 72 92 37 116 13 47 78 4 71 45 109 128 34 8 30 50 28 6 42 76 55 27 75 46 58 64 122 103 21 40 52 131 41 132 19 39 89 121 23 59 118 60 129 22 93 15,289706 767326 18724 479826 497092,8546 37224 74065 104780 94093,,6724 523 2593 9826 6710,5641 6311 5115 8387 7204,,,,3 2 1 4,2,3,,11195,19215,1755470,53,140,0,4
1415,0.0,46502704,4,1,11,4,1,486.0,93 70 77 86 109 75 69 45 8 29 49 83 6 46 56 36 11 44 51 118 76 28 106 59 114 111 71 57 23 17 116,,,,100 72 80 33 92 116 13 47 1 109 128 8 50 86 28 6 20 46 122 52 131 113 69 41 121 59 24 129 110,26682 704724 171741 159810 529100,95007 5001 18185 56819 106720,,3450 9826 644 3090 8525,598 857 1424 4998 8059,,,,3 1 4,2 1,1,,133292,464828,1334609,22,74,0,4
411,0.0,71812125,2,1,10,7,0,803.0,59 49 36 11,,,,,306150 198167 401060 50273 193810,,,506 4891 3701 9390 3938,616 446 2400 9220 387,,,,0,0,0,,9106,163120,220179,79,21,0,4
1918,0.0,16419335,5,1,11,2,0,192.0,93 70 77 75 29 41 46 36 11,63 73 1 70 19 4 13 30 74 48,,,100 80 131 37 13 8 61 50 6 9 46 59 14 122 129,157203 497092 69666 10251 690200,90747 90718 36764 19826 93916,,8525 4695 7165 9710 2459,4166 6145 9048 9642 1913,,,,3 1,1,1,,158679,643438,1690612,60,4,0,4
1918,0.0,16028961,5,1,11,7,1,346.0,93 77 37 109 98 29 49 119 73 46 113 36 11 87,,,,52 100 80 131 37 116 53 47 78 8 30 6 132 42 46 121 64 129 22 67,368434 128266 265398 725039 555710,18185 7467 95597 118492 35722,,5400 9170 9826 5427 6939,4165 3752 415 2118 9421,,,,3,1,1,,158679,643438,1690612,60,4,0,4
70,0.0,44400969,5,2,10,7,1,335.0,70 86 28 83 36 11,,,,,123755 644438 89154 309419 204795,84497 114314 17355 56438 718,,247 7108 2011 9252 5703,1953 4962 3480 1564 4828,,,,3,1,0,,327,5616,5977,22,27,113,9
302,0.0,33774716,2,2,10,7,1,808.0,74 93 97 70 77 109 76 1 69 102 33 29 6 42 39 46 111 57 62 116 36 11 20,,,,100 72 80 131 63 107 79 109 8 28 6 99 27 20 46 74 59 40 83,616597 527604 581802 761845 438702,16785 56986 94457 99348 88002,,8306 9826 9474 7827 5252,1281 4518 6945 6640 3664,,,,3,1,1,,18621,745599,1628574,91,21,0,4
1746,0.0,44836980,3,1,13,2,1,647.0,93 70 109 12 75 29 41 42 46 111 115 88 81 17 56 62 36 34 11,9 52 46 21 19 4 13 39 14,,,100 46,2268 743380 729853 649615 230873,66348 117586 97793 37224 52864,,9826 7709 7684 3579 9264,3786 8854 8016 9784 5242,,,,1 3 2 4,1,2,,75748,204378,287080,22,121,0,4
1605,0.0,41899198,1,2,13 10,2,1,437.0,36 11,73 79 1 46 70 6 80 74 54 29,,,33 131 116 47 78 109 8 30 6 132 76 121 59 10 129 81 130 93,297041 590770,107549 64039 85368 60053 87249,,4203 927 7964 7124 3836,8525 1130 4610 9777 5098,,,,3 1,1,3,,11195,19215,1755470,53,140,0,4
1468,0.0,70704609,5,1,10,7,1,189.0,,,,,92 71 115 38,,51938 93176 98066 7014 85039,,,1331 2064 8014 263 4158,,,,0,0,1,,915,994,1610899,60,51,0,4
838,0.0,49014980,2,2,10,2,0,275.0,,24 30,,,,,21675 76242 46275 56545 30947,,,3104 9721 3883 8701 2097,,,,0,0,0,,452,131853,1640724,93,10,12193,11
519,0.0,71870985,3,2,0,7,1,921.0,93 70 77 86 37 98 121 75 4 102 8 29 49 6 73 72 46 56 36 11 118 100 76 48 28 23 17 116 3 117 87,24 21 4 30 39,,,100 80 131 37 4 8 46,590981 678945 731217 542834 711140,44360 59543 64804 106503 42752,,6939 644 9826 6865 523,5985 2578 1850 5912 5851,,,,3 1,2,0,,370,358059,577602,22,67,113,9
1566,0.0,81025267,4,1,10,7,0,576.0,93 37 6 46 24 36 11,,,,,100680 497092 118076 52250 530883,105274,,6939 9108 4426 1170 2847,2119 137 809 7102 762,,,,1,1,0,,6946,296367,520004,59,24,3794,11
1291,0.0,59572881,1,2,13 10,7,1,27.0,93 70 77 86 118 109 47 76 28 8 67 2 5 43 46 9 36 11,47 73 79 46 70 32 6 21 18 27 29 68,,,100 72 80 92 116 78 71 109 8 30 50 86 6 42 43 46 64 21 52 131 79 132 19 121 59 60 129 120,120517 64588 571034 156479 527187,39525 25158 11249 26624 47966,,8052 2050 8525 9826 644,5115 5641 296 8704 8763,,,,1 3,2,2,1.0,1082,40405,1434096,53,13,0,6
529,0.0,13656913,3,1,11,3,2,192.0,93 70 77 86 37 109 47 75 1 102 29 49 6 2 42 46 35 56 36 11 100 76 28 39 71 23 57 9 17 116,9 1 70,,,100 80 37 101 109 28 6 7 46 129,792721 691885 71940 290900 433422,79250 77181 117548 1225 76242,,3162 523 9331 2905 5400,9925 1957 3444 9619 107,,,,2 3 1,1 2,3,,10122,163352,220558,35,10,3733,11
1566,0.0,14893891,2,1,10,7,2,809.0,70 109 76 28 106 59 49 6 119 42 73 22 57 35 36 11 96 87,,,,,354338 392248 196312 610805 389318,63832 85039 63773 18185 21577,,4519 8741 2121 9232 2557,6045 3835 9938 2783 263,,,,0,0,0,,6946,296367,520004,59,24,3794,11
